ACTIVE,FAULT_CODE,FAULT_FAMILY,FAULT_MEMBER,PRIORITY,SYSTEM_TS
Y,code_prec,family_prec,member_prec,2,01-Nov-19 05.28.13.393633 PM
N,code_prec,family_prec,member_prec,2,01-Nov-19 05.38.13.393633 PM
Y,code_prec,family_prec,member_prec,2,01-Nov-19 05.51.33.393633 PM
N,code_prec,family_prec,member_prec,2,01-Nov-19 06.01.33.393633 PM
Y,code_cons,family_cons,member_cons,3,01-Nov-19 07.01.33.393633 PM
N,code_cons,family_cons,member_cons,3,01-Nov-19 07.04.53.393633 PM
Y,code_prec,family_prec,member_prec,2,02-Nov-19 07.18.13.393633 AM
N,code_prec,family_prec,member_prec,2,02-Nov-19 07.28.13.393633 AM
Y,code_prec,family_prec,member_prec,2,02-Nov-19 07.41.33.393633 AM
N,code_prec,family_prec,member_prec,2,02-Nov-19 07.51.33.393633 AM
Y,code_cons,family_cons,member_cons,3,02-Nov-19 08.51.33.393633 AM
N,code_cons,family_cons,member_cons,3,02-Nov-19 08.54.53.393633 AM
Y,code_prec,family_prec,member_prec,2,02-Nov-19 09.08.13.393633 PM
N,code_prec,family_prec,member_prec,2,02-Nov-19 09.18.13.393633 PM
Y,code_prec,family_prec,member_prec,2,02-Nov-19 09.31.33.393633 PM
N,code_prec,family_prec,member_prec,2,02-Nov-19 09.41.33.393633 PM
Y,code_cons,family_cons,member_cons,3,02-Nov-19 10.41.33.393633 PM
N,code_cons,family_cons,member_cons,3,02-Nov-19 10.44.53.393633 PM
Y,code_prec,family_prec,member_prec,2,03-Nov-19 10.58.13.393633 AM
N,code_prec,family_prec,member_prec,2,03-Nov-19 11.08.13.393633 AM
Y,code_prec,family_prec,member_prec,2,03-Nov-19 11.21.33.393633 AM
N,code_prec,family_prec,member_prec,2,03-Nov-19 11.31.33.393633 AM
Y,code_cons,family_cons,member_cons,3,03-Nov-19 12.31.33.393633 PM
N,code_cons,family_cons,member_cons,3,03-Nov-19 12.34.53.393633 PM
Y,code_prec,family_prec,member_prec,2,04-Nov-19 12.48.13.393633 AM
N,code_prec,family_prec,member_prec,2,04-Nov-19 12.58.13.393633 AM
Y,code_prec,family_prec,member_prec,2,04-Nov-19 01.11.33.393633 AM
N,code_prec,family_prec,member_prec,2,04-Nov-19 01.21.33.393633 AM
Y,code_cons,family_cons,member_cons,3,04-Nov-19 02.21.33.393633 AM
N,code_cons,family_cons,member_cons,3,04-Nov-19 02.24.53.393633 AM
Y,code_prec,family_prec,member_prec,2,04-Nov-19 02.38.13.393633 PM
N,code_prec,family_prec,member_prec,2,04-Nov-19 02.48.13.393633 PM
Y,code_prec,family_prec,member_prec,2,04-Nov-19 03.01.33.393633 PM
N,code_prec,family_prec,member_prec,2,04-Nov-19 03.11.33.393633 PM
Y,code_cons,family_cons,member_cons,3,04-Nov-19 04.11.33.393633 PM
N,code_cons,family_cons,member_cons,3,04-Nov-19 04.14.53.393633 PM
Y,code_prec,family_prec,member_prec,2,05-Nov-19 04.28.13.393633 AM
N,code_prec,family_prec,member_prec,2,05-Nov-19 04.38.13.393633 AM
Y,code_prec,family_prec,member_prec,2,05-Nov-19 04.51.33.393633 AM
N,code_prec,family_prec,member_prec,2,05-Nov-19 05.01.33.393633 AM
Y,code_cons,family_cons,member_cons,3,05-Nov-19 06.01.33.393633 AM
N,code_cons,family_cons,member_cons,3,05-Nov-19 06.04.53.393633 AM
Y,code_prec,family_prec,member_prec,2,05-Nov-19 06.18.13.393633 PM
N,code_prec,family_prec,member_prec,2,05-Nov-19 06.28.13.393633 PM
Y,code_prec,family_prec,member_prec,2,05-Nov-19 06.41.33.393633 PM
N,code_prec,family_prec,member_prec,2,05-Nov-19 06.51.33.393633 PM
Y,code_cons,family_cons,member_cons,3,05-Nov-19 07.51.33.393633 PM
N,code_cons,family_cons,member_cons,3,05-Nov-19 07.54.53.393633 PM
