ACTIVE,FAULT_CODE,FAULT_FAMILY,FAULT_MEMBER,PRIORITY,SYSTEM_TS
Y,code_prec,family_prec,member_prec,2,01-Nov-19 05.32.55.792077 PM
N,code_prec,family_prec,member_prec,2,01-Nov-19 05.43.15.799938 PM
Y,code_prec,family_prec,member_prec,2,01-Nov-19 05.59.12.398015 PM
N,code_prec,family_prec,member_prec,2,01-Nov-19 06.11.04.442675 PM
Y,code_cons,family_cons,member_cons,3,01-Nov-19 07.19.47.358912 PM
N,code_cons,family_cons,member_cons,3,01-Nov-19 07.21.39.403903 PM
Y,code_prec,family_prec,member_prec,2,02-Nov-19 10.06.36.035558 AM
N,code_prec,family_prec,member_prec,2,02-Nov-19 10.16.30.874616 AM
Y,code_prec,family_prec,member_prec,2,02-Nov-19 10.30.56.570376 AM
N,code_prec,family_prec,member_prec,2,02-Nov-19 10.41.03.772554 AM
Y,code_cons,family_cons,member_cons,3,02-Nov-19 11.47.50.969136 AM
N,code_cons,family_cons,member_cons,3,02-Nov-19 11.52.19.462532 AM
Y,code_prec,family_prec,member_prec,2,03-Nov-19 12.26.18.560807 AM
N,code_prec,family_prec,member_prec,2,03-Nov-19 12.36.35.244523 AM
Y,code_prec,family_prec,member_prec,2,03-Nov-19 12.53.54.297175 AM
N,code_prec,family_prec,member_prec,2,03-Nov-19 01.03.44.039262 AM
Y,code_cons,family_cons,member_cons,3,03-Nov-19 02.05.11.698218 AM
N,code_cons,family_cons,member_cons,3,03-Nov-19 02.07.14.829602 AM
Y,code_prec,family_prec,member_prec,2,03-Nov-19 07.33.50.706345 AM
N,code_prec,family_prec,member_prec,2,03-Nov-19 07.44.33.928155 AM
Y,code_prec,family_prec,member_prec,2,03-Nov-19 07.55.55.181751 AM
N,code_prec,family_prec,member_prec,2,03-Nov-19 08.07.48.669483 AM
Y,code_cons,family_cons,member_cons,3,03-Nov-19 09.01.01.447094 AM
N,code_cons,family_cons,member_cons,3,03-Nov-19 09.04.25.565360 AM
Y,code_prec,family_prec,member_prec,2,03-Nov-19 08.51.53.845074 PM
N,code_prec,family_prec,member_prec,2,03-Nov-19 09.03.07.313013 PM
Y,code_prec,family_prec,member_prec,2,03-Nov-19 09.16.52.104601 PM
N,code_prec,family_prec,member_prec,2,03-Nov-19 09.27.11.012727 PM
Y,code_cons,family_cons,member_cons,3,03-Nov-19 10.23.02.432717 PM
