ACTIVE,FAULT_CODE,FAULT_FAMILY,FAULT_MEMBER,PRIORITY,SYSTEM_TS
Y,a,a,a,2,03-Oct-19 05.32.55.078442 PM
N,a,a,a,2,03-Oct-19 05.42.55.078442 PM
Y,a,a,a,2,03-Oct-19 06.12.55.078442 PM
N,a,a,a,2,03-Oct-19 06.22.55.078442 PM
Y,c,c,c,3,04-Oct-19 12.22.55.078442 AM
N,c,c,c,3,04-Oct-19 12.42.55.078442 AM
Y,a,a,a,2,07-Oct-19 01.12.55.078442 AM
N,a,a,a,2,07-Oct-19 01.22.55.078442 AM
Y,a,a,a,2,07-Oct-19 01.52.55.078442 AM
N,a,a,a,2,07-Oct-19 02.02.55.078442 AM
Y,c,c,c,3,07-Oct-19 08.02.55.078442 AM
N,c,c,c,3,07-Oct-19 08.22.55.078442 AM
Y,a,a,a,2,10-Oct-19 08.52.55.078442 AM
N,a,a,a,2,10-Oct-19 09.02.55.078442 AM
Y,a,a,a,2,10-Oct-19 09.32.55.078442 AM
N,a,a,a,2,10-Oct-19 09.42.55.078442 AM
Y,c,c,c,3,10-Oct-19 03.42.55.078442 PM
N,c,c,c,3,10-Oct-19 04.02.55.078442 PM
Y,a,a,a,2,13-Oct-19 04.32.55.078442 PM
N,a,a,a,2,13-Oct-19 04.42.55.078442 PM
Y,a,a,a,2,13-Oct-19 05.12.55.078442 PM
N,a,a,a,2,13-Oct-19 05.22.55.078442 PM
Y,c,c,c,3,13-Oct-19 11.22.55.078442 PM
N,c,c,c,3,13-Oct-19 11.42.55.078442 PM
Y,a,a,a,2,17-Oct-19 12.12.55.078442 AM
N,a,a,a,2,17-Oct-19 12.22.55.078442 AM
Y,a,a,a,2,17-Oct-19 12.52.55.078442 AM
N,a,a,a,2,17-Oct-19 01.02.55.078442 AM
Y,c,c,c,3,17-Oct-19 07.02.55.078442 AM
N,c,c,c,3,17-Oct-19 07.22.55.078442 AM
Y,a,a,a,2,20-Oct-19 07.52.55.078442 AM
N,a,a,a,2,20-Oct-19 08.02.55.078442 AM
Y,a,a,a,2,20-Oct-19 08.32.55.078442 AM
N,a,a,a,2,20-Oct-19 08.42.55.078442 AM
Y,c,c,c,3,20-Oct-19 02.42.55.078442 PM
N,c,c,c,3,20-Oct-19 03.02.55.078442 PM
Y,a,a,a,2,23-Oct-19 03.32.55.078442 PM
N,a,a,a,2,23-Oct-19 03.42.55.078442 PM
Y,a,a,a,2,23-Oct-19 04.12.55.078442 PM
N,a,a,a,2,23-Oct-19 04.22.55.078442 PM
Y,c,c,c,3,23-Oct-19 10.22.55.078442 PM
N,c,c,c,3,23-Oct-19 10.42.55.078442 PM
Y,a,a,a,2,26-Oct-19 11.12.55.078442 PM
N,a,a,a,2,26-Oct-19 11.22.55.078442 PM
Y,a,a,a,2,26-Oct-19 11.52.55.078442 PM
N,a,a,a,2,27-Oct-19 12.02.55.078442 AM
Y,c,c,c,3,27-Oct-19 05.02.55.078442 AM
N,c,c,c,3,27-Oct-19 05.22.55.078442 AM
Y,a,a,a,2,30-Oct-19 05.52.55.078442 AM
N,a,a,a,2,30-Oct-19 06.02.55.078442 AM
Y,a,a,a,2,30-Oct-19 06.32.55.078442 AM
N,a,a,a,2,30-Oct-19 06.42.55.078442 AM
Y,c,c,c,3,30-Oct-19 12.42.55.078442 PM
N,c,c,c,3,30-Oct-19 01.02.55.078442 PM
Y,a,a,a,2,02-Nov-19 01.32.55.078442 PM
N,a,a,a,2,02-Nov-19 01.42.55.078442 PM
Y,a,a,a,2,02-Nov-19 02.12.55.078442 PM
N,a,a,a,2,02-Nov-19 02.22.55.078442 PM
Y,c,c,c,3,02-Nov-19 08.22.55.078442 PM
N,c,c,c,3,02-Nov-19 08.42.55.078442 PM
Y,a,a,a,2,05-Nov-19 09.12.55.078442 PM
N,a,a,a,2,05-Nov-19 09.22.55.078442 PM
Y,a,a,a,2,05-Nov-19 09.52.55.078442 PM
N,a,a,a,2,05-Nov-19 10.02.55.078442 PM
Y,c,c,c,3,06-Nov-19 04.02.55.078442 AM
N,c,c,c,3,06-Nov-19 04.22.55.078442 AM
Y,a,a,a,2,09-Nov-19 04.52.55.078442 AM
N,a,a,a,2,09-Nov-19 05.02.55.078442 AM
Y,a,a,a,2,09-Nov-19 05.32.55.078442 AM
N,a,a,a,2,09-Nov-19 05.42.55.078442 AM
Y,c,c,c,3,09-Nov-19 11.42.55.078442 AM
N,c,c,c,3,09-Nov-19 12.02.55.078442 PM
Y,a,a,a,2,12-Nov-19 12.32.55.078442 PM
N,a,a,a,2,12-Nov-19 12.42.55.078442 PM
Y,a,a,a,2,12-Nov-19 01.12.55.078442 PM
N,a,a,a,2,12-Nov-19 01.22.55.078442 PM
Y,c,c,c,3,12-Nov-19 07.22.55.078442 PM
N,c,c,c,3,12-Nov-19 07.42.55.078442 PM
Y,a,a,a,2,15-Nov-19 08.12.55.078442 PM
N,a,a,a,2,15-Nov-19 08.22.55.078442 PM
Y,a,a,a,2,15-Nov-19 08.52.55.078442 PM
N,a,a,a,2,15-Nov-19 09.02.55.078442 PM
Y,c,c,c,3,16-Nov-19 03.02.55.078442 AM
N,c,c,c,3,16-Nov-19 03.22.55.078442 AM
Y,a,a,a,2,19-Nov-19 03.52.55.078442 AM
N,a,a,a,2,19-Nov-19 04.02.55.078442 AM
Y,a,a,a,2,19-Nov-19 04.32.55.078442 AM
N,a,a,a,2,19-Nov-19 04.42.55.078442 AM
Y,c,c,c,3,19-Nov-19 10.42.55.078442 AM
N,c,c,c,3,19-Nov-19 11.02.55.078442 AM
Y,a,a,a,2,22-Nov-19 11.32.55.078442 AM
N,a,a,a,2,22-Nov-19 11.42.55.078442 AM
Y,a,a,a,2,22-Nov-19 12.12.55.078442 PM
N,a,a,a,2,22-Nov-19 12.22.55.078442 PM
Y,c,c,c,3,22-Nov-19 06.22.55.078442 PM
N,c,c,c,3,22-Nov-19 06.42.55.078442 PM
Y,a,a,a,2,25-Nov-19 07.12.55.078442 PM
N,a,a,a,2,25-Nov-19 07.22.55.078442 PM
Y,a,a,a,2,25-Nov-19 07.52.55.078442 PM
N,a,a,a,2,25-Nov-19 08.02.55.078442 PM
Y,c,c,c,3,26-Nov-19 02.02.55.078442 AM
N,c,c,c,3,26-Nov-19 02.22.55.078442 AM
Y,a,a,a,2,29-Nov-19 02.52.55.078442 AM
N,a,a,a,2,29-Nov-19 03.02.55.078442 AM
Y,a,a,a,2,29-Nov-19 03.32.55.078442 AM
N,a,a,a,2,29-Nov-19 03.42.55.078442 AM
Y,c,c,c,3,29-Nov-19 09.42.55.078442 AM
N,c,c,c,3,29-Nov-19 10.02.55.078442 AM
Y,a,a,a,2,02-Dec-19 10.32.55.078442 AM
N,a,a,a,2,02-Dec-19 10.42.55.078442 AM
Y,a,a,a,2,02-Dec-19 11.12.55.078442 AM
N,a,a,a,2,02-Dec-19 11.22.55.078442 AM
Y,c,c,c,3,02-Dec-19 05.22.55.078442 PM
N,c,c,c,3,02-Dec-19 05.42.55.078442 PM
Y,a,a,a,2,05-Dec-19 06.12.55.078442 PM
N,a,a,a,2,05-Dec-19 06.22.55.078442 PM
Y,a,a,a,2,05-Dec-19 06.52.55.078442 PM
N,a,a,a,2,05-Dec-19 07.02.55.078442 PM
Y,c,c,c,3,06-Dec-19 01.02.55.078442 AM
N,c,c,c,3,06-Dec-19 01.22.55.078442 AM
Y,a,a,a,2,09-Dec-19 01.52.55.078442 AM
N,a,a,a,2,09-Dec-19 02.02.55.078442 AM
Y,a,a,a,2,09-Dec-19 02.32.55.078442 AM
N,a,a,a,2,09-Dec-19 02.42.55.078442 AM
Y,c,c,c,3,09-Dec-19 08.42.55.078442 AM
N,c,c,c,3,09-Dec-19 09.02.55.078442 AM
Y,a,a,a,2,12-Dec-19 09.32.55.078442 AM
N,a,a,a,2,12-Dec-19 09.42.55.078442 AM
Y,a,a,a,2,12-Dec-19 10.12.55.078442 AM
N,a,a,a,2,12-Dec-19 10.22.55.078442 AM
Y,c,c,c,3,12-Dec-19 04.22.55.078442 PM
N,c,c,c,3,12-Dec-19 04.42.55.078442 PM
Y,a,a,a,2,15-Dec-19 05.12.55.078442 PM
N,a,a,a,2,15-Dec-19 05.22.55.078442 PM
Y,a,a,a,2,15-Dec-19 05.52.55.078442 PM
N,a,a,a,2,15-Dec-19 06.02.55.078442 PM
Y,c,c,c,3,16-Dec-19 12.02.55.078442 AM
N,c,c,c,3,16-Dec-19 12.22.55.078442 AM
Y,a,a,a,2,19-Dec-19 12.52.55.078442 AM
N,a,a,a,2,19-Dec-19 01.02.55.078442 AM
Y,a,a,a,2,19-Dec-19 01.32.55.078442 AM
N,a,a,a,2,19-Dec-19 01.42.55.078442 AM
Y,c,c,c,3,19-Dec-19 07.42.55.078442 AM
N,c,c,c,3,19-Dec-19 08.02.55.078442 AM
Y,a,a,a,2,22-Dec-19 08.32.55.078442 AM
N,a,a,a,2,22-Dec-19 08.42.55.078442 AM
Y,a,a,a,2,22-Dec-19 09.12.55.078442 AM
N,a,a,a,2,22-Dec-19 09.22.55.078442 AM
Y,c,c,c,3,22-Dec-19 03.22.55.078442 PM
N,c,c,c,3,22-Dec-19 03.42.55.078442 PM
Y,a,a,a,2,25-Dec-19 04.12.55.078442 PM
N,a,a,a,2,25-Dec-19 04.22.55.078442 PM
Y,a,a,a,2,25-Dec-19 04.52.55.078442 PM
N,a,a,a,2,25-Dec-19 05.02.55.078442 PM
Y,c,c,c,3,25-Dec-19 11.02.55.078442 PM
N,c,c,c,3,25-Dec-19 11.22.55.078442 PM
Y,a,a,a,2,28-Dec-19 11.52.55.078442 PM
N,a,a,a,2,29-Dec-19 12.02.55.078442 AM
Y,a,a,a,2,29-Dec-19 12.32.55.078442 AM
N,a,a,a,2,29-Dec-19 12.42.55.078442 AM
Y,c,c,c,3,29-Dec-19 06.42.55.078442 AM
N,c,c,c,3,29-Dec-19 07.02.55.078442 AM
Y,a,a,a,2,01-Jan-20 07.32.55.078442 AM
N,a,a,a,2,01-Jan-20 07.42.55.078442 AM
Y,a,a,a,2,01-Jan-20 08.12.55.078442 AM
N,a,a,a,2,01-Jan-20 08.22.55.078442 AM
Y,c,c,c,3,01-Jan-20 02.22.55.078442 PM
N,c,c,c,3,01-Jan-20 02.42.55.078442 PM
Y,a,a,a,2,04-Jan-20 03.12.55.078442 PM
N,a,a,a,2,04-Jan-20 03.22.55.078442 PM
Y,a,a,a,2,04-Jan-20 03.52.55.078442 PM
N,a,a,a,2,04-Jan-20 04.02.55.078442 PM
Y,c,c,c,3,04-Jan-20 10.02.55.078442 PM
N,c,c,c,3,04-Jan-20 10.22.55.078442 PM
Y,a,a,a,2,07-Jan-20 10.52.55.078442 PM
N,a,a,a,2,07-Jan-20 11.02.55.078442 PM
Y,a,a,a,2,07-Jan-20 11.32.55.078442 PM
N,a,a,a,2,07-Jan-20 11.42.55.078442 PM
Y,c,c,c,3,08-Jan-20 05.42.55.078442 AM
N,c,c,c,3,08-Jan-20 06.02.55.078442 AM
Y,a,a,a,2,11-Jan-20 06.32.55.078442 AM
N,a,a,a,2,11-Jan-20 06.42.55.078442 AM
Y,a,a,a,2,11-Jan-20 07.12.55.078442 AM
N,a,a,a,2,11-Jan-20 07.22.55.078442 AM
Y,c,c,c,3,11-Jan-20 01.22.55.078442 PM
N,c,c,c,3,11-Jan-20 01.42.55.078442 PM
Y,a,a,a,2,14-Jan-20 02.12.55.078442 PM
N,a,a,a,2,14-Jan-20 02.22.55.078442 PM
Y,a,a,a,2,14-Jan-20 02.52.55.078442 PM
N,a,a,a,2,14-Jan-20 03.02.55.078442 PM
Y,c,c,c,3,14-Jan-20 09.02.55.078442 PM
N,c,c,c,3,14-Jan-20 09.22.55.078442 PM
Y,a,a,a,2,17-Jan-20 09.52.55.078442 PM
N,a,a,a,2,17-Jan-20 10.02.55.078442 PM
Y,a,a,a,2,17-Jan-20 10.32.55.078442 PM
N,a,a,a,2,17-Jan-20 10.42.55.078442 PM
Y,c,c,c,3,18-Jan-20 04.42.55.078442 AM
N,c,c,c,3,18-Jan-20 05.02.55.078442 AM
Y,a,a,a,2,21-Jan-20 05.32.55.078442 AM
N,a,a,a,2,21-Jan-20 05.42.55.078442 AM
Y,a,a,a,2,21-Jan-20 06.12.55.078442 AM
N,a,a,a,2,21-Jan-20 06.22.55.078442 AM
Y,c,c,c,3,21-Jan-20 12.22.55.078442 PM
N,c,c,c,3,21-Jan-20 12.42.55.078442 PM
Y,a,a,a,2,24-Jan-20 01.12.55.078442 PM
N,a,a,a,2,24-Jan-20 01.22.55.078442 PM
Y,a,a,a,2,24-Jan-20 01.52.55.078442 PM
N,a,a,a,2,24-Jan-20 02.02.55.078442 PM
Y,c,c,c,3,24-Jan-20 08.02.55.078442 PM
N,c,c,c,3,24-Jan-20 08.22.55.078442 PM
Y,a,a,a,2,27-Jan-20 08.52.55.078442 PM
N,a,a,a,2,27-Jan-20 09.02.55.078442 PM
Y,a,a,a,2,27-Jan-20 09.32.55.078442 PM
N,a,a,a,2,27-Jan-20 09.42.55.078442 PM
Y,c,c,c,3,28-Jan-20 03.42.55.078442 AM
N,c,c,c,3,28-Jan-20 04.02.55.078442 AM
Y,a,a,a,2,31-Jan-20 04.32.55.078442 AM
N,a,a,a,2,31-Jan-20 04.42.55.078442 AM
Y,a,a,a,2,31-Jan-20 05.12.55.078442 AM
N,a,a,a,2,31-Jan-20 05.22.55.078442 AM
Y,c,c,c,3,31-Jan-20 11.22.55.078442 AM
N,c,c,c,3,31-Jan-20 11.42.55.078442 AM
Y,a,a,a,2,03-Feb-20 12.12.55.078442 PM
N,a,a,a,2,03-Feb-20 12.22.55.078442 PM
Y,a,a,a,2,03-Feb-20 12.52.55.078442 PM
N,a,a,a,2,03-Feb-20 01.02.55.078442 PM
Y,c,c,c,3,03-Feb-20 07.02.55.078442 PM
N,c,c,c,3,03-Feb-20 07.22.55.078442 PM
Y,a,a,a,2,06-Feb-20 07.52.55.078442 PM
N,a,a,a,2,06-Feb-20 08.02.55.078442 PM
Y,a,a,a,2,06-Feb-20 08.32.55.078442 PM
N,a,a,a,2,06-Feb-20 08.42.55.078442 PM
Y,c,c,c,3,07-Feb-20 02.42.55.078442 AM
N,c,c,c,3,07-Feb-20 03.02.55.078442 AM
Y,a,a,a,2,10-Feb-20 03.32.55.078442 AM
N,a,a,a,2,10-Feb-20 03.42.55.078442 AM
Y,a,a,a,2,10-Feb-20 04.12.55.078442 AM
N,a,a,a,2,10-Feb-20 04.22.55.078442 AM
Y,c,c,c,3,10-Feb-20 10.22.55.078442 AM
N,c,c,c,3,10-Feb-20 10.42.55.078442 AM
Y,a,a,a,2,13-Feb-20 11.12.55.078442 AM
N,a,a,a,2,13-Feb-20 11.22.55.078442 AM
Y,a,a,a,2,13-Feb-20 11.52.55.078442 AM
N,a,a,a,2,13-Feb-20 12.02.55.078442 PM
Y,c,c,c,3,13-Feb-20 06.02.55.078442 PM
