ACTIVE,FAULT_CODE,FAULT_FAMILY,FAULT_MEMBER,PRIORITY,SYSTEM_TS
Y,a,a,a,2,03-Oct-19 05.09.12.391462 PM
N,a,a,a,2,03-Oct-19 05.45.42.104007 PM
Y,a,a,a,2,03-Oct-19 06.58.14.530088 PM
N,a,a,a,2,03-Oct-19 07.01.54.070139 PM
Y,c,c,c,3,03-Oct-19 10.22.19.131806 PM
N,c,c,c,3,03-Oct-19 10.29.11.339768 PM
Y,a,a,a,2,06-Oct-19 01.35.34.188811 AM
N,a,a,a,2,06-Oct-19 01.35.50.488861 AM
Y,a,a,a,2,06-Oct-19 02.28.43.941762 AM
N,a,a,a,2,06-Oct-19 03.02.59.467350 AM
Y,c,c,c,3,06-Oct-19 12.10.35.086652 PM
N,c,c,c,3,06-Oct-19 12.32.56.644005 PM
Y,a,a,a,2,13-Oct-19 07.22.58.079340 PM
N,a,a,a,2,13-Oct-19 07.26.40.240524 PM
Y,a,a,a,2,13-Oct-19 07.44.01.737891 PM
N,a,a,a,2,13-Oct-19 07.45.39.963549 PM
Y,c,c,c,3,14-Oct-19 09.07.54.969299 AM
N,c,c,c,3,14-Oct-19 09.09.56.145034 AM
Y,a,a,a,2,17-Oct-19 06.52.51.992335 AM
N,a,a,a,2,17-Oct-19 07.12.12.356841 AM
Y,a,a,a,2,17-Oct-19 07.24.40.363514 AM
N,a,a,a,2,17-Oct-19 07.25.32.527884 AM
Y,c,c,c,3,17-Oct-19 11.08.34.412736 AM
N,c,c,c,3,17-Oct-19 11.21.36.286450 AM
Y,a,a,a,2,17-Oct-19 08.16.29.218326 PM
N,a,a,a,2,17-Oct-19 08.42.42.929745 PM
Y,a,a,a,2,17-Oct-19 08.57.03.563115 PM
N,a,a,a,2,17-Oct-19 09.00.04.156068 PM
Y,c,c,c,3,18-Oct-19 04.25.15.512501 AM
N,c,c,c,3,18-Oct-19 04.27.07.952500 AM
Y,a,a,a,2,18-Oct-19 09.33.39.790875 PM
N,a,a,a,2,18-Oct-19 09.42.36.505018 PM
Y,a,a,a,2,18-Oct-19 09.51.28.006793 PM
N,a,a,a,2,18-Oct-19 09.53.53.976160 PM
Y,c,c,c,3,19-Oct-19 12.08.12.061142 AM
N,c,c,c,3,19-Oct-19 01.09.15.300083 AM
Y,a,a,a,2,19-Oct-19 01.06.02.968452 PM
N,a,a,a,2,19-Oct-19 01.23.15.590523 PM
Y,a,a,a,2,19-Oct-19 01.35.04.208725 PM
N,a,a,a,2,19-Oct-19 01.44.42.876642 PM
Y,c,c,c,3,19-Oct-19 05.41.09.510630 PM
N,c,c,c,3,19-Oct-19 05.52.08.069909 PM
Y,a,a,a,2,21-Oct-19 08.13.58.756633 PM
N,a,a,a,2,21-Oct-19 08.19.50.530180 PM
Y,a,a,a,2,21-Oct-19 08.37.23.667969 PM
N,a,a,a,2,21-Oct-19 08.57.00.361843 PM
Y,c,c,c,3,22-Oct-19 12.12.36.536312 AM
N,c,c,c,3,22-Oct-19 12.30.10.972988 AM
Y,a,a,a,2,24-Oct-19 04.23.10.092209 PM
N,a,a,a,2,24-Oct-19 04.31.46.321874 PM
Y,a,a,a,2,24-Oct-19 04.33.54.690384 PM
N,a,a,a,2,24-Oct-19 04.40.25.652026 PM
Y,c,c,c,3,25-Oct-19 12.54.01.677740 AM
N,c,c,c,3,25-Oct-19 01.40.17.561699 AM
Y,a,a,a,2,26-Oct-19 10.41.14.857610 AM
N,a,a,a,2,26-Oct-19 10.49.47.133137 AM
Y,a,a,a,2,26-Oct-19 11.26.17.525772 AM
N,a,a,a,2,26-Oct-19 11.30.05.099673 AM
Y,c,c,c,3,26-Oct-19 12.16.27.294536 PM
N,c,c,c,3,26-Oct-19 12.42.53.368894 PM
Y,a,a,a,2,27-Oct-19 08.10.37.288847 PM
N,a,a,a,2,27-Oct-19 08.18.22.277100 PM
Y,a,a,a,2,27-Oct-19 08.36.30.477762 PM
N,a,a,a,2,27-Oct-19 08.44.50.842553 PM
Y,c,c,c,3,28-Oct-19 08.51.59.122776 AM
N,c,c,c,3,28-Oct-19 09.51.59.711185 AM
Y,a,a,a,2,29-Oct-19 04.04.08.513310 AM
N,a,a,a,2,29-Oct-19 04.10.38.485156 AM
Y,a,a,a,2,29-Oct-19 04.29.04.006142 AM
N,a,a,a,2,29-Oct-19 04.45.39.176934 AM
