ACTIVE,FAULT_CODE,FAULT_FAMILY,FAULT_MEMBER,PRIORITY,SYSTEM_TS
Y,a,a,a,2,03-Oct-19 05.34.02.239677 PM
N,a,a,a,2,03-Oct-19 05.43.38.274777 PM
Y,a,a,a,2,03-Oct-19 06.14.24.381759 PM
N,a,a,a,2,03-Oct-19 06.24.16.394532 PM
Y,c,c,c,3,04-Oct-19 12.37.02.470989 AM
N,c,c,c,3,04-Oct-19 12.56.45.814891 AM
Y,a,a,a,2,06-Oct-19 10.17.40.908630 PM
N,a,a,a,2,06-Oct-19 10.28.00.700280 PM
Y,a,a,a,2,06-Oct-19 10.58.40.553106 PM
N,a,a,a,2,06-Oct-19 11.08.31.101456 PM
Y,c,c,c,3,07-Oct-19 05.06.02.242173 AM
N,c,c,c,3,07-Oct-19 05.25.07.229285 AM
Y,a,a,a,2,09-Oct-19 10.08.21.026386 PM
N,a,a,a,2,09-Oct-19 10.18.10.916638 PM
Y,a,a,a,2,09-Oct-19 10.48.20.558184 PM
N,a,a,a,2,09-Oct-19 10.58.19.668693 PM
Y,c,c,c,3,10-Oct-19 04.36.31.289584 AM
N,c,c,c,3,10-Oct-19 04.57.07.981487 AM
Y,a,a,a,2,13-Oct-19 05.46.49.528182 AM
N,a,a,a,2,13-Oct-19 05.56.53.698446 AM
Y,a,a,a,2,13-Oct-19 06.26.37.050913 AM
N,a,a,a,2,13-Oct-19 06.36.36.764257 AM
Y,c,c,c,3,13-Oct-19 01.38.35.417976 PM
N,c,c,c,3,13-Oct-19 01.58.07.627501 PM
Y,a,a,a,2,16-Oct-19 12.49.04.289406 PM
N,a,a,a,2,16-Oct-19 12.59.11.335488 PM
Y,a,a,a,2,16-Oct-19 01.27.31.024017 PM
N,a,a,a,2,16-Oct-19 01.37.26.086588 PM
Y,c,c,c,3,16-Oct-19 07.13.15.238971 PM
N,c,c,c,3,16-Oct-19 07.31.55.240814 PM
Y,a,a,a,2,19-Oct-19 09.07.52.068822 PM
N,a,a,a,2,19-Oct-19 09.17.54.799615 PM
Y,a,a,a,2,19-Oct-19 09.49.00.596086 PM
N,a,a,a,2,19-Oct-19 09.58.57.992985 PM
Y,c,c,c,3,20-Oct-19 03.36.02.826193 AM
N,c,c,c,3,20-Oct-19 03.57.21.433778 AM
Y,a,a,a,2,23-Oct-19 08.46.33.078418 AM
N,a,a,a,2,23-Oct-19 08.56.36.253589 AM
Y,a,a,a,2,23-Oct-19 09.28.26.595278 AM
N,a,a,a,2,23-Oct-19 09.38.19.775601 AM
Y,c,c,c,3,23-Oct-19 03.31.32.400411 PM
N,c,c,c,3,23-Oct-19 03.50.54.792181 PM
Y,a,a,a,2,26-Oct-19 06.26.58.310694 PM
N,a,a,a,2,26-Oct-19 06.37.04.740976 PM
Y,a,a,a,2,26-Oct-19 07.06.38.134380 PM
N,a,a,a,2,26-Oct-19 07.16.44.947579 PM
Y,c,c,c,3,27-Oct-19 01.02.19.869741 AM
N,c,c,c,3,27-Oct-19 01.22.42.381905 AM
Y,a,a,a,2,30-Oct-19 02.33.43.529229 AM
N,a,a,a,2,30-Oct-19 02.43.41.746695 AM
Y,a,a,a,2,30-Oct-19 03.12.29.614602 AM
N,a,a,a,2,30-Oct-19 03.22.14.481972 AM
Y,c,c,c,3,30-Oct-19 08.59.35.015611 AM
N,c,c,c,3,30-Oct-19 09.19.08.008842 AM
Y,a,a,a,2,01-Nov-19 11.53.21.123163 PM
N,a,a,a,2,02-Nov-19 12.03.42.239324 AM
Y,a,a,a,2,02-Nov-19 12.34.31.895460 AM
N,a,a,a,2,02-Nov-19 12.44.14.792839 AM
Y,c,c,c,3,02-Nov-19 06.31.15.584153 AM
N,c,c,c,3,02-Nov-19 06.50.39.253591 AM
Y,a,a,a,2,05-Nov-19 03.20.09.900013 PM
N,a,a,a,2,05-Nov-19 03.30.02.111205 PM
Y,a,a,a,2,05-Nov-19 04.00.19.241266 PM
N,a,a,a,2,05-Nov-19 04.10.32.833591 PM
Y,c,c,c,3,05-Nov-19 11.14.54.395247 PM
N,c,c,c,3,05-Nov-19 11.35.07.149153 PM
Y,a,a,a,2,09-Nov-19 07.45.45.905280 AM
N,a,a,a,2,09-Nov-19 07.55.40.490674 AM
Y,a,a,a,2,09-Nov-19 08.26.36.273197 AM
N,a,a,a,2,09-Nov-19 08.36.43.899497 AM
Y,c,c,c,3,09-Nov-19 02.08.11.900459 PM
N,c,c,c,3,09-Nov-19 02.27.20.134790 PM
Y,a,a,a,2,12-Nov-19 03.52.48.000718 PM
N,a,a,a,2,12-Nov-19 04.02.36.985321 PM
Y,a,a,a,2,12-Nov-19 04.33.04.004335 PM
N,a,a,a,2,12-Nov-19 04.42.54.803407 PM
Y,c,c,c,3,12-Nov-19 09.45.05.609095 PM
N,c,c,c,3,12-Nov-19 10.05.37.963913 PM
Y,a,a,a,2,16-Nov-19 09.51.17.151798 AM
N,a,a,a,2,16-Nov-19 10.01.05.785449 AM
Y,a,a,a,2,16-Nov-19 10.30.31.039325 AM
N,a,a,a,2,16-Nov-19 10.40.38.149143 AM
Y,c,c,c,3,16-Nov-19 04.33.42.533701 PM
N,c,c,c,3,16-Nov-19 04.53.01.784204 PM
Y,a,a,a,2,19-Nov-19 11.51.21.552042 AM
N,a,a,a,2,19-Nov-19 12.01.03.530059 PM
Y,a,a,a,2,19-Nov-19 12.32.35.855711 PM
N,a,a,a,2,19-Nov-19 12.42.26.240693 PM
Y,c,c,c,3,19-Nov-19 06.16.16.379645 PM
N,c,c,c,3,19-Nov-19 06.36.54.145167 PM
Y,a,a,a,2,22-Nov-19 08.27.07.056261 PM
N,a,a,a,2,22-Nov-19 08.36.44.742107 PM
Y,a,a,a,2,22-Nov-19 09.06.35.162742 PM
N,a,a,a,2,22-Nov-19 09.16.29.400228 PM
Y,c,c,c,3,23-Nov-19 03.54.06.235171 AM
N,c,c,c,3,23-Nov-19 04.12.45.877231 AM
Y,a,a,a,2,26-Nov-19 01.59.44.748601 AM
N,a,a,a,2,26-Nov-19 02.09.58.079732 AM
Y,a,a,a,2,26-Nov-19 02.43.03.624362 AM
N,a,a,a,2,26-Nov-19 02.52.58.983027 AM
Y,c,c,c,3,26-Nov-19 08.30.50.041207 AM
N,c,c,c,3,26-Nov-19 08.52.24.575582 AM
Y,a,a,a,2,29-Nov-19 03.17.49.100526 PM
N,a,a,a,2,29-Nov-19 03.27.35.124405 PM
Y,a,a,a,2,29-Nov-19 03.58.18.892989 PM
N,a,a,a,2,29-Nov-19 04.08.41.884798 PM
Y,c,c,c,3,29-Nov-19 09.17.04.928104 PM
N,c,c,c,3,29-Nov-19 09.37.23.713108 PM
Y,a,a,a,2,02-Dec-19 05.09.16.497744 PM
N,a,a,a,2,02-Dec-19 05.19.20.535232 PM
Y,a,a,a,2,02-Dec-19 05.49.41.046018 PM
N,a,a,a,2,02-Dec-19 05.59.35.090182 PM
Y,c,c,c,3,03-Dec-19 12.05.48.801900 AM
N,c,c,c,3,03-Dec-19 12.25.31.633507 AM
Y,a,a,a,2,06-Dec-19 01.51.42.382512 AM
N,a,a,a,2,06-Dec-19 02.01.28.916452 AM
Y,a,a,a,2,06-Dec-19 02.29.53.364438 AM
N,a,a,a,2,06-Dec-19 02.39.47.033923 AM
Y,c,c,c,3,06-Dec-19 08.46.28.789325 AM
N,c,c,c,3,06-Dec-19 09.05.13.688114 AM
Y,a,a,a,2,09-Dec-19 02.10.29.480510 AM
N,a,a,a,2,09-Dec-19 02.20.19.870348 AM
Y,a,a,a,2,09-Dec-19 02.50.55.024106 AM
N,a,a,a,2,09-Dec-19 03.00.58.460670 AM
Y,c,c,c,3,09-Dec-19 08.35.21.675531 AM
N,c,c,c,3,09-Dec-19 08.55.01.838582 AM
Y,a,a,a,2,12-Dec-19 05.46.54.246958 AM
N,a,a,a,2,12-Dec-19 05.57.01.878263 AM
Y,a,a,a,2,12-Dec-19 06.26.52.813250 AM
N,a,a,a,2,12-Dec-19 06.36.43.423354 AM
Y,c,c,c,3,12-Dec-19 12.32.58.698383 PM
N,c,c,c,3,12-Dec-19 12.54.26.214401 PM
Y,a,a,a,2,15-Dec-19 04.19.28.000133 PM
N,a,a,a,2,15-Dec-19 04.29.45.116909 PM
Y,a,a,a,2,15-Dec-19 04.57.28.997732 PM
N,a,a,a,2,15-Dec-19 05.07.35.428610 PM
Y,c,c,c,3,15-Dec-19 11.23.55.250918 PM
N,c,c,c,3,15-Dec-19 11.46.19.440804 PM
Y,a,a,a,2,19-Dec-19 09.02.08.816747 AM
N,a,a,a,2,19-Dec-19 09.12.10.800125 AM
Y,a,a,a,2,19-Dec-19 09.42.01.622961 AM
N,a,a,a,2,19-Dec-19 09.51.47.774817 AM
Y,c,c,c,3,19-Dec-19 03.31.44.187257 PM
N,c,c,c,3,19-Dec-19 03.52.00.687003 PM
Y,a,a,a,2,23-Dec-19 02.20.16.020005 AM
N,a,a,a,2,23-Dec-19 02.30.12.120914 AM
Y,a,a,a,2,23-Dec-19 03.01.07.325873 AM
N,a,a,a,2,23-Dec-19 03.10.56.307884 AM
Y,c,c,c,3,23-Dec-19 09.01.50.029411 AM
N,c,c,c,3,23-Dec-19 09.21.13.432116 AM
Y,a,a,a,2,26-Dec-19 04.04.45.895117 AM
N,a,a,a,2,26-Dec-19 04.14.58.134312 AM
Y,a,a,a,2,26-Dec-19 04.44.10.061218 AM
N,a,a,a,2,26-Dec-19 04.54.07.587348 AM
Y,c,c,c,3,26-Dec-19 11.03.23.674000 AM
N,c,c,c,3,26-Dec-19 11.22.17.261283 AM
Y,a,a,a,2,30-Dec-19 12.04.40.639180 AM
N,a,a,a,2,30-Dec-19 12.14.42.411220 AM
Y,a,a,a,2,30-Dec-19 12.43.33.375228 AM
N,a,a,a,2,30-Dec-19 12.53.38.173486 AM
Y,c,c,c,3,30-Dec-19 06.39.20.766915 AM
N,c,c,c,3,30-Dec-19 06.58.47.439025 AM
Y,a,a,a,2,02-Jan-20 07.16.06.088965 PM
N,a,a,a,2,02-Jan-20 07.26.12.348953 PM
Y,a,a,a,2,02-Jan-20 07.58.45.684079 PM
N,a,a,a,2,02-Jan-20 08.08.53.346728 PM
Y,c,c,c,3,03-Jan-20 03.10.06.838991 AM
N,c,c,c,3,03-Jan-20 03.30.02.521285 AM
Y,a,a,a,2,05-Jan-20 06.57.02.891382 PM
N,a,a,a,2,05-Jan-20 07.07.06.163189 PM
Y,a,a,a,2,05-Jan-20 07.36.19.620883 PM
N,a,a,a,2,05-Jan-20 07.46.06.564286 PM
Y,c,c,c,3,06-Jan-20 02.04.47.193698 AM
N,c,c,c,3,06-Jan-20 02.24.08.663351 AM
Y,a,a,a,2,09-Jan-20 05.13.22.945874 AM
N,a,a,a,2,09-Jan-20 05.23.18.732372 AM
Y,a,a,a,2,09-Jan-20 05.54.18.056687 AM
N,a,a,a,2,09-Jan-20 06.04.05.525295 AM
Y,c,c,c,3,09-Jan-20 11.56.50.731025 AM
N,c,c,c,3,09-Jan-20 12.16.28.755849 PM
Y,a,a,a,2,12-Jan-20 06.40.40.204740 PM
N,a,a,a,2,12-Jan-20 06.50.37.100475 PM
Y,a,a,a,2,12-Jan-20 07.20.18.469577 PM
N,a,a,a,2,12-Jan-20 07.30.18.861101 PM
Y,c,c,c,3,13-Jan-20 02.31.18.309348 AM
N,c,c,c,3,13-Jan-20 02.51.21.828957 AM
Y,a,a,a,2,16-Jan-20 03.39.33.879184 AM
N,a,a,a,2,16-Jan-20 03.49.27.463916 AM
Y,a,a,a,2,16-Jan-20 04.19.05.003984 AM
N,a,a,a,2,16-Jan-20 04.29.03.188182 AM
Y,c,c,c,3,16-Jan-20 10.22.19.639966 AM
N,c,c,c,3,16-Jan-20 10.42.12.099992 AM
Y,a,a,a,2,19-Jan-20 09.01.32.567366 AM
N,a,a,a,2,19-Jan-20 09.11.30.330623 AM
Y,a,a,a,2,19-Jan-20 09.40.41.722271 AM
N,a,a,a,2,19-Jan-20 09.50.41.802969 AM
